Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,location,timestamp,tweet,tiny_tweet,tokens,stems,score
19897,19897,19897,"[,]",2020-05-08 12:10:49+00:00,@glamour_sin Esta cuarentena esta sobreviviendo a pizza y empanadas y me dice que extraña horrores la comida de Madre!,Esta cuarentena esta sobreviviendo pizza empanadas dice extra horrores comida Madre,"['esta', 'cuarentena', 'esta', 'sobreviviendo', 'pizza', 'empanadas', 'dice', 'extra', 'horrores', 'comida', 'madre']","['esta', 'cuarenten', 'esta', 'sobreviv', 'pizz', 'empan', 'dic', 'extra', 'horror', 'com', 'madr']",0
19905,19905,19905,"[,]",2020-05-08 12:11:31+00:00,"@NachoTorresCH Sesiones presenciales en el Congreso, basta de cuarentena",Sesiones presenciales Congreso basta cuarentena,"['sesiones', 'presenciales', 'congreso', 'basta', 'cuarentena']","['sesion', 'presencial', 'congres', 'bast', 'cuarenten']",1
19943,19943,19943,"[,]",2020-05-08 12:14:47+00:00,Por favor cuarentena ya no quiero tener mas sueños raros,favor cuarentena quiero tener raros,"['favor', 'cuarentena', 'quiero', 'tener', 'raros']","['favor', 'cuarenten', 'quier', 'ten', 'rar']",0
20024,20024,20024,"[,]",2020-05-08 12:22:14+00:00,@diegodelacurva Cosas que no deberían volver después de la cuarentena : el sutien,Cosas deber volver despu cuarentena sutien,"['cosas', 'deber', 'volver', 'despu', 'cuarentena', 'sutien']","['cos', 'deb', 'volv', 'despu', 'cuarenten', 'suti']",1
20064,20064,20064,"[,]",2020-05-08 12:25:25+00:00,Primera vez en la cuarentena que me quedó despierta toda la mañana después de mis sucesivos trasnochos 💪🏻🤗,Primera cuarentena qued despierta toda despu sucesivos trasnochos,"['primera', 'cuarentena', 'qued', 'despierta', 'toda', 'despu', 'sucesivos', 'trasnochos']","['primer', 'cuarenten', 'qued', 'despiert', 'tod', 'despu', 'suces', 'trasnoch']",1
20077,20077,20077,"[,]",2020-05-08 12:26:06+00:00,Te sala esta cuarentena!!🙄,sala esta cuarentena,"['sala', 'esta', 'cuarentena']","['sal', 'esta', 'cuarenten']",0
20083,20083,20083,"[,]",2020-05-08 12:30:40+00:00,"Ya llevo 4 días sin wifi , lo único que no me podía faltar en esta cuarentena, que mal que la estoy pasando lpm",llevo wifi nico faltar esta cuarentena estoy pasando,"['llevo', 'wifi', 'nico', 'faltar', 'esta', 'cuarentena', 'estoy', 'pasando']","['llev', 'wifi', 'nic', 'falt', 'esta', 'cuarenten', 'estoy', 'pas']",0
20146,20146,20146,"[,]",2020-05-08 12:34:05+00:00,No quiero pasar mi cumple en cuarentena por que voy a llorar mucho ah,quiero pasar cumple cuarentena llorar mucho,"['quiero', 'pasar', 'cumple', 'cuarentena', 'llorar', 'mucho']","['quier', 'pas', 'cumpl', 'cuarenten', 'llor', 'much']",1
20229,20229,20229,"[,]",2020-05-08 12:40:39+00:00,"Por suerte me desperté, estaba teniendo un sueño que iba a tener que romper la cuarentena para reventar a alguien.",suerte despert estaba teniendo tener romper cuarentena para reventar alguien,"['suerte', 'despert', 'estaba', 'teniendo', 'tener', 'romper', 'cuarentena', 'para', 'reventar', 'alguien']","['suert', 'despert', 'estab', 'ten', 'ten', 'romp', 'cuarenten', 'par', 'revent', 'algui']",1
20307,20307,20307,"[,]",2020-05-08 12:46:20+00:00,"@rolocavagnaro Hola Rodo, cómo la llevas a la cuarentena?",Hola Rodo llevas cuarentena,"['hola', 'rodo', 'llevas', 'cuarentena']","['hol', 'rod', 'llev', 'cuarenten']",1
