,Unnamed: 0,,location,timestamp,tweet,tiny_tweet,tokens,stems,score,
30,30,30,"[,]",2020-05-07 17:57:44+00:00,Mi mood más recurrente de cuarentena es HARTA.  A una extensión de sacar turno para tatuarme dicha palabra post cuarentena.,mood recurrente cuarentena HARTA extensi sacar turno para tatuarme dicha palabra post cuarentena,"['mood', 'recurrente', 'cuarentena', 'harta', 'extensi', 'sacar', 'turno', 'para', 'tatuarme', 'dicha', 'palabra', 'post', 'cuarentena']","['mood', 'recurrent', 'cuarenten', 'hart', 'extensi', 'sac', 'turn', 'par', 'tatu', 'dich', 'palabr', 'post', 'cuarenten']",0,
129,129,129,"[,]",2020-05-07 18:03:09+00:00,@luchocastellani Es la cuarentena,cuarentena,['cuarentena'],['cuarenten'],1,
173,173,173,"[,]",2020-05-07 18:04:54+00:00,"@jok_ase Seeee, lo mejor de la cuarentena!",Seeee mejor cuarentena,"['seeee', 'mejor', 'cuarentena']","['seee', 'mejor', 'cuarenten']",1,
289,289,289,"[,]",2020-05-07 18:10:37+00:00,@julianyosovitch La cuarentena se termino cuando ya no hubo más formas de calmar el hambre.,cuarentena termino cuando hubo formas calmar hambre,"['cuarentena', 'termino', 'cuando', 'hubo', 'formas', 'calmar', 'hambre']","['cuarenten', 'termin', 'cuand', 'hub', 'form', 'calm', 'hambr']",1,
363,363,363,"[,]",2020-05-07 18:14:13+00:00,Yo antes y después de la cuarentena,antes despu cuarentena,"['antes', 'despu', 'cuarentena']","['antes', 'despu', 'cuarenten']",0,
416,416,416,"[,]",2020-05-07 18:16:05+00:00,"Palermo es un circo 🎪, ¿la cuarentena no era obligatoria hasta el 10/5?",Palermo circo cuarentena obligatoria hasta,"['palermo', 'circo', 'cuarentena', 'obligatoria', 'hasta']","['palerm', 'circ', 'cuarenten', 'obligatori', 'hast']",0,
462,462,462,"[,]",2020-05-07 18:18:21+00:00,"Llagas y fiebre, que hermosa combinación para esta cuarentena",Llagas fiebre hermosa combinaci para esta cuarentena,"['llagas', 'fiebre', 'hermosa', 'combinaci', 'para', 'esta', 'cuarentena']","['llag', 'fiebr', 'hermos', 'combinaci', 'par', 'esta', 'cuarenten']",0,
477,477,477,"[,]",2020-05-07 18:19:15+00:00,"Amo amo el color rojo que me quedó en el pelo para no poder lucirlo, maldita cuarentena 🙄😭",color rojo qued pelo para poder lucirlo maldita cuarentena,"['color', 'rojo', 'qued', 'pelo', 'para', 'poder', 'lucirlo', 'maldita', 'cuarentena']","['color', 'roj', 'qued', 'pel', 'par', 'pod', 'luc', 'maldit', 'cuarenten']",0,
481,481,481,"[,]",2020-05-07 18:19:28+00:00,Esta tratando de salir y romper la cuarentena... Se llama muela de juicio. Quedate ahi.,Esta tratando salir romper cuarentena llama muela juicio Quedate,"['esta', 'tratando', 'salir', 'romper', 'cuarentena', 'llama', 'muela', 'juicio', 'quedate']","['esta', 'trat', 'sal', 'romp', 'cuarenten', 'llam', 'muel', 'juici', 'quedat']",1,
487,487,487,"[,]",2020-05-07 18:19:47+00:00,Desde que empezó la cuarentena ayer tuve mi primer crisis y no pare de llorar en toda la noche.,Desde empez cuarentena ayer tuve primer crisis pare llorar toda noche,"['desde', 'empez', 'cuarentena', 'ayer', 'tuve', 'primer', 'crisis', 'pare', 'llorar', 'toda', 'noche']","['desd', 'empez', 'cuarenten', 'ayer', 'tuv', 'prim', 'crisis', 'par', 'llor', 'tod', 'noch']",0,
585,585,585,"[,]",2020-05-07 18:24:27+00:00,No aguanto más el barbijo prefiero que me agarre el corona,aguanto barbijo prefiero agarre corona,"['aguanto', 'barbijo', 'prefiero', 'agarre', 'corona']","['aguant', 'barbij', 'prefier', 'agarr', 'coron']",0,
652,652,652,"[,]",2020-05-07 18:27:24+00:00,@juanromero42 @CMonteroOficial Traeme la partida de nacimiento del virus 🤣😂🤣🤣😂🤣😂 Tenía pasaporte cuando entró en usa!!?,Traeme partida nacimiento virus pasaporte cuando entr,"['traeme', 'partida', 'nacimiento', 'virus', 'pasaporte', 'cuando', 'entr']","['traem', 'part', 'nacimient', 'virus', 'pasaport', 'cuand', 'entr']",2,
691,691,691,"[,]",2020-05-07 18:29:27+00:00,día 75 de cuarentena mí mamá no se cansa de hacer budín de pan 🤮,cuarentena cansa hacer,"['cuarentena', 'cansa', 'hacer']","['cuarenten', 'cans', 'hac']",0,
708,708,708,"[,]",2020-05-07 18:30:27+00:00,@adiospipino Y cuánto te pensas que va a durar está cuarentena 🙃😳🤷🏼‍♂️. Jajajjajaja,pensas durar cuarentena Jajajjajaja,"['pensas', 'durar', 'cuarentena', 'jajajjajaja']","['pens', 'dur', 'cuarenten', 'jajajjajaj']",1,
790,790,790,"[,]",2020-05-07 18:34:54+00:00,"Ahi va, tantas salidas rompiendo la cuarentena da en eso",tantas salidas rompiendo cuarentena,"['tantas', 'salidas', 'rompiendo', 'cuarentena']","['tant', 'sal', 'romp', 'cuarenten']",0,
861,861,861,"[,]",2020-05-07 18:38:26+00:00,Yendo a buscar a mi mejor amigo para hacer algo despues de la cuarentena,Yendo buscar mejor amigo para hacer algo despues cuarentena,"['yendo', 'buscar', 'mejor', 'amigo', 'para', 'hacer', 'algo', 'despues', 'cuarentena']","['yend', 'busc', 'mejor', 'amig', 'par', 'hac', 'algo', 'despu', 'cuarenten']",2,
892,892,892,"[,]",2020-05-07 18:39:44+00:00,Día 60 de cuarentena ya no tengo ganas de nada,cuarentena tengo ganas nada,"['cuarentena', 'tengo', 'ganas', 'nada']","['cuarenten', 'teng', 'gan', 'nad']",0,
